的	白勹丶
碎	石亠从十
挺	扌壬廴
泰	{春字头}氺
羊	羊
旋	{旅字框}疋
晓	日{尧字头}兀
障	阝立早
桥	木夭{乔字底}
仁	亻二
郎	丶{即字旁}阝
孟	子皿
讯	讠乛十
虫	虫
郭	{享字头}子阝
幻	幺乛
赫	土{亦字底}土{亦字底}
裂	歹刂衣
凝	冫匕矢龴疋
颜	产彡页
刊	干刂
慈	䒑幺幺心
吕	吕
昨	日乍
辛	辛
役	彳殳
逼	{同字心}田辶
泛	氵丿之
瑞	王山而
伴	亻半
袁	土口{衣省}
翼	羽田共
舒	{全字头}{舍字底}予
宜	宀且
偶	亻日{禺字底}
峰	山夂丰
径	彳{经右角}工
岂	山己
潮	氵龺月
捕	扌甫
辆	{车旁}两
邪	牙阝
症	疒正
颇	皮页
插	扌千臼
袋	亻弋衣
爬	爪巴
掩	扌大电
霍	{雨头}隹
浮	氵爫子
倍	亻咅
壮	丬士
豪	{亮字头}豕
拔	扌友丶
拖	扌{卧人}也
渡	氵{度字框}又
悄	忄肖
堆	土隹
鸡	又鸟
狼	犭丶艮
播	扌釆田
零	{雨头}今丶
躲	身几木
映	日{见二}大
灾	宀火
尺	尺
俗	亻谷
疯	疒风
丧	{丧字头}{畏字底}
冬	夂{冬字底}
辩	{辛旁}讠辛
炎	火火
咬	口交
码	石马
猜	犭龶{青字底}
壁	辟土
艘	舟臼丨又
滚	氵{衣框}公
贴	贝占
赏	{尚头}贝
劝	又力
兽	丷田{同字心}
番	釆田
哼	口{享字头}了
撞	扌童
伍	亻五
柔	矛木
旦	旦
跃	{足旁}夭
隆	阝夂一生
魏	禾女鬼
狠	犭艮
糊	米古月
扎	扌⺃
忧	忄尢丶
衡	行{衡字心}
帐	巾长
崇	山宀示
汗	氵干
赖	束{尔字头}贝
薄	{落字框}甫寸
净	冫{尔字头}{争字底}
粉	米分
岩	山石
忆	忄乛
堡	亻口木土
巡	巛辶
仔	亻子
欣	斤欠
偿	亻龸云
愤	忄十艹贝
阁	门各
详	讠羊
喵	口艹田
竹	竹
漫	{温字框}罒又
爹	父多
董	艹𡈼旦
撒	扌龷{青字底}攵
佩	亻{风省}一巾
丢	𡈼厶
绕	纟{尧字头}兀
赤	土{亦字底}
扶	扌夫
蛋	疋虫
吐	口土
返	{反字框}又辶
闲	门木
陪	阝咅
乔	夭{乔字底}
盾	{反字框}十目
矿	石广
矛	矛
耐	而寸
焦	隹灬
侍	亻土寸
拳	龹手
墨	黑土
允	厶儿
侯	亻{候右角}矢
滑	氵骨
润	氵门王
胞	月包
邦	{寿字头}阝
辈	非车
井	井
荷	艹亻可
摄	扌耳双
署	罒者
荡	{落字框}乛{横两撇}
敏	{卧人}母攵
递	丷弓{弟省无弓}辶
泥	氵尸匕
骗	马户{扁字心}
曰	曰
彭	壴彡
租	禾且
晨	日辰
搜	扌臼丨又
昏	氏日
幅	巾{同字心}田
奏	{春字头}天
幽	山幺幺
兼	䒑{聿三}{兼无䒑无彐}
肃	⺺{乔字底}八
艇	舟壬廴
辑	{车旁}口耳
枝	木支
岳	{丘无横}一山
黎	禾{黎右角}{全字头}氺
浓	氵冖{衣省}
酸	酉厶八夂
污	氵亏
凉	冫京
辞	舌辛
