ms	丶
dm	气
mz	凶 㐫
sn	乃 凸无横
wp	象
kn	申
ow	北 邶字旁
ux	贤字头 览字头
ug	肖
pf	老
pt	虎 虍 虍无七 𮓗
tq	九
ek	已
bq	臼 舆字头框 臼裂 ⺽ ⺽变 璺字头框
if	定字底 疋 延字心 疏字旁
or	执
pw	㐬
nn	食 飠 ⻞ 飮字旁 𩙿
yc	干 无三 𘠨
kb	龹 养字头 𠌉字底 𠉅字边字头 𭢐字边字头
hg	习
uu	饣
bm	荧字头
cz	弗 姊字边 𠂔
th	候右角 叚右角
uq	缶 卸字旁
ic	民
gl	林 𣏟
mt	壴
qm	风
ka	圭
qu	羽
zg	双
yp	甘 其字头 其字头无横
mn	冉
xz	仺字底 段字旁 印字旁 虐字底 黽左角 㒫字头 镸无厶 𰀂 𰀄
xn	豆
sz	亚
rh	旡
go	毛
xh	牙
rh	曾字头无丷 黑五
ru	釆
ct	温字框
ah	甫 甫变
tp	卯 留字头 畱字头 𡋲字头 𦊿字底
qi	尺
pi	百
yf	光
pa	卅 带字头 丗 𠀍
fy	韦
jv	刍
kd	展字心 𠺂字边字底
ue	革
av	麻
vc	辛 辛旁
gp	黑 黒
bh	落字框
ey	齐 斉
rk	卑
uc	鸟 鸟省
ne	曲 典字头带横
wu	辟
vq	半
ye	奂
dx	微字框无一
jy	千 刋字旁
bi	鱼
oc	巨
fo	夭
ud	春字头 𡗗 羮字底 𩤻字边字底
el	寒字头
pd	君
hz	父
zj	彑 宐字底
id	凡
re	敫
jd	鬼 鬼无厶
hx	酋
tl	龙
eu	肉
tg	龺
gi	亏
cu	血
dn	臣 臦字旁
bl	曷
gn	鬲
ry	垂
cj	氶
tj	叚
bt	屯 黽字心 龜字心 龜字心无撇
uv	骨 咼 冎 骨字头
ij	瓦
is	⻑ 镸 長
co	兵
oh	丸 凡变
pj	辰
da	甲
qt	六
zh	卤 囱 囟
jf	飞 飛字底
mf	唐
kl	毋 毌 婁字头 𣫬
oo	舛
oa	耒
mk	末
vw	瓜
hc	矛
va	呙
aj	乌
ql	曰 冒字头 衰字腰
tw	齿
oz	夹
vs	童
nb	草
zr	丅 丆
kf	魚 衡字心 鱼省
bm	車 惠字头 𫊙字底字边字头
mr	屮 䶹 屮变
bf	鼻
ml	貝
bk	舞字头 簔字底心 𣞣字头
zj	芒
wn	尹
nq	麦
pc	乡
zv	敖
uz	鼠 巤字底 鼠字底
fn	㡀
yz	門 鬥
yr	赢字框
kj	丹
ld	頁 𢧻字边字头
do	鹿 鹿旁 鹿字框
cc	卵
wi	黾
qn	颐字旁 弬字边 𦣝 颐字旁变 𦣝变
iu	見
xt	馬 馬字框
mb	韋
dm	卯字旁 留上角
og	僉 㑒
gb	侖
dv	邑
jj	龻 䜌
dw	鳥 鳥省
il	風
pa	亞 𬻞
dg	龍字边
ub	㦮 彧字框
ul	卌 帶字头
zt	齊字腰
ak	烏 烏省
ou	亞无一 虛字底 亜无一 斲字旁
oo	麥
xx	齒字底 齒字底心
rb	免五
an	亾 兦
ha	丄
rk	⺼ 䏓字旁
wa	特殊折
