字	拆分	全码	类型	末字根
笆	 巴	ksl	二根	巴
竿	 干	kyc	二根	干
笄	 开	kcm	二根	开
笺	 戋	kti	二根	戋
笪	 旦	kuw	二根	旦
笨	 本	ktm	二根	本
笔	 毛	kgo	二根	毛
笊	 爪	kch	二根	爪
笙	 生	knc	二根	生
笛	 由	kkv	二根	由
箱	 相	kxu	二根	相
笠	 立	kjk	二根	立
箸	 者	kvn	二根	者
笕	 见	klw	二根	见
笃	 马	kwm	二根	马
篙	 高	kci	二根	高
笼	 龙	ktl	二根	龙
笫	 	kcz	二根	
孛	 子	glg	二根	子
索	 糸	gcp	难拆	糸
膏	 	chz	二根	
臧	 臣	qdn	二根	臣
舞	 舛	boo	难拆	舛
卫	 一	jfk	二根	一
监	 皿	uyz	难拆	皿
览	 见	ulw	二根	见
鉴	 金	ulu	二根	金
尔	 小	nig	难拆	小
色	 巴	nsl	二根	巴
负	 贝	nqh	难拆	贝
争	 	nja	难拆	
龟	 	nzf	二根	
贵	 贝	hqh	二根	贝
党	 儿	sdi	二根	儿
堂	 土	sck	二根	土
常	 巾	ssu	难拆	巾
掌	 手	scj	二根	手
棠	 木	syq	二根	木
裳	 衣	shi	二根	衣
赏	 贝	sqh	二根	贝
跤	 交	hwa	二根	交
跣	 先	hae	二根	先
趴	 八	hay	二根	八
跚	 册	hte	二根	册
跑	 包	hov	难拆	包
趿	 及	hvk	二根	及
路	 各	hxc	难拆	各
跬	 圭	hka	二根	圭
趺	 夫	hxm	二根	夫
跃	 夭	hfo	二根	夭
踞	 居	hdl	二根	居
距	 巨	hoc	二根	巨
践	 戋	hti	二根	戋
踝	 果	hmv	二根	果
趾	 止	hhl	二根	止
踊	 甬	hxd	二根	甬
跛	 皮	hzs	二根	皮
跖	 石	hra	二根	石
跟	 艮	hix	难拆	艮
跻	 齐	hey	二根	齐
轧	 ⺃	ehu	二根	⺃
转	 专	emr	二根	专
辆	 两	ejc	二根	两
轨	 九	etq	二根	九
较	 交	ewa	难拆	交
轮	 仑	erm	二根	仑
轱	 古	eob	二根	古
轲	 可	eur	二根	可
轩	 干	eyc	二根	干
斩	 斤	etn	二根	斤
软	 欠	ekc	二根	欠
辅	 甫	eah	二根	甫
轴	 由	ekv	二根	由
辘	 鹿	edo	二根	鹿
辣	 束	vgu	二根	束
阜	 十	ueo	二根	十
追	 辶	udf	难拆	辶
那	 阝	rer	难拆	阝
雲	 云	eyv	二根	云
雹	 包	eov	二根	包
霞	 叚	etj	二根	叚
霎	 妾	exp	二根	妾
雪	 彐	eqj	二根	彐
雯	 文	ehf	二根	文
雱	 方	elj	二根	方
霖	 林	egl	二根	林
雷	 田	ety	二根	田
霜	 相	exu	二根	相
需	 而	eui	难拆	而
霄	 肖	eug	二根	肖
霹	 辟	ewu	二根	辟
震	 辰	epj	二根	辰
霍	 隹	ewf	二根	隹
霏	 非	eyx	二根	非
霁	 齐	eey	二根	齐
颐	 页	qmg	二根	页
凤	 又	kzn	二根	又
夙	 歹	knr	二根	歹
凫	 几	ukx	二根	几
岛	 山	ubn	难拆	山
枭	 木	uyq	二根	木
袅	 衣	uhi	二根	衣
勿	 丿	jlb	二根	丿
隶	 	jwj	二根	
典	 八	nay	二根	八
曳	 丿	zlb	二根	丿
丘	 一	tfk	二根	一
乐	 小	xig	二根	小
东	 小	sig	难拆	小
具	 八	aay	难拆	八
久	 丶	nms	难拆	丶
录	 氺	qbk	二根	氺
央	 大	onf	难拆	大
仓	 㔾	gjf	二根	㔾
个	 丨	ggp	难拆	丨
会	 云	gyv	难拆	云
众	 从	glc	二根	从
企	 止	ghl	二根	止
全	 王	gks	二根	王
佘	 示	gth	二根	示
舍	 	gji	二根	
余	 	gtu	难拆	
州	 川	ppv	难拆	川
乘	 北	tow	二根	北
秉	 	tqj	二根	
以	 人	ysk	难拆	人
事	 	aja	难拆	
吏	 𘱌	aqi	二根	𘱌
亭	 丁	cna	二根	丁
亮	 几	ckx	二根	几
毫	 毛	cgo	二根	毛
豪	 豕	cby	二根	豕
衷	 中	hog	二根	中
衮	 公	hwh	二根	公
哀	 口	hpr	二根	口
亵	 执	hor	二根	执
裹	 果	hmv	难拆	果
袤	 矛	hhc	二根	矛
衰	 	hql	二根	
攸	 攵	hvj	二根	攵
学	 子	jlg	难拆	子
泶	 水	jbk	二根	水
觉	 见	jlw	二根	见
鲎	 鱼	jbi	二根	鱼
范	 㔾	bjf	难拆	㔾
菹	 且	baw	二根	且
茫	 亡	blm	二根	亡
菏	 可	bur	二根	可
落	 各	bxc	难拆	各
莎	 少	bvm	二根	少
萍	 平	bih	二根	平
蒲	 甫	bah	二根	甫
菠	 皮	bzs	二根	皮
旒	 㐬	epw	二根	㐬
旃	 丹	ekj	二根	丹
施	 也	exi	难拆	也
旗	 其	ekt	二根	其
旄	 毛	ego	二根	毛
旌	 生	enc	二根	生
旋	 疋	eif	二根	疋
族	 矢	elv	二根	矢
